Class_Name,Description,Type,id,Professor,,Unit,Attributes,Subject,Number,Unit,mon,tues,wed,thur,fri,start_time,end_time,,,,,,,,,,,,
AAAS 345,MASS INCARCERATION/CITIZENSHIP,lec,1,Wahneema Lubiano,,1,"CCI,EI,R,C,ALP,CZ",AAAS,345,1,FALSE,TRUE,FALSE,TRUE,FALSE,4:40PM,5:55PM,,,,,,,,,,,,
AAAS 347S,WHITE PEOPLE,lec,1,James Lorand Matory,,1,"CCI,R,C,CZ,SS",AAAS,347,1,FALSE,TRUE,FALSE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AAAS 407S,CAP SEM: GLOBALIZATION ASIA,lec,1,Sucheta Mazumdar,,1,"CCI,R,STS,C,CZ,SS",AAAS,407,1,FALSE,FALSE,FALSE,TRUE,FALSE,4:40PM,7:10PM,,,,,,,,,,,,
AAAS 420S,ROLE RACE/CULTURE ON DEVL,lec,1,Makeba P Wilbourn,,1,"CCI,EI,C,SS",AAAS,420,1,FALSE,FALSE,FALSE,TRUE,FALSE,11:45AM,2:15PM,,,,,,,,,,,,
AEROSCI 101,HERITAGE/VALUES US AIR FORCE,lec,1,Leia Teresa Wright,,0.5,,AEROSCI,101,0.5,FALSE,FALSE,FALSE,TRUE,FALSE,1:40PM,2:40PM,,,,,,,,,,,,
AEROSCI 201,TEAM & LEADERSHIP FUNDAMENTALS,lec,1,Leia Teresa Wright,,0.5,STS,AEROSCI,201,0.5,FALSE,TRUE,FALSE,FALSE,FALSE,8:45AM,9:50AM,,,,,,,,,,,,
AEROSCI 301S,LEADING PEOPLE/EFFECTIVE COMM,lec,1,"Leia Teresa Wright, Liza Moya Theriault",,1,EI,AEROSCI,301,1,FALSE,TRUE,FALSE,FALSE,FALSE,3:05PM,5:35PM,,,,,,,,,,,,
AEROSCI 99L,LEADERSHIP LABORATORY,lab,1,Leia Teresa Wright,,0,,AEROSCI,99,1,FALSE,FALSE,FALSE,TRUE,FALSE,3:05PM,5:05PM,,,,,,,,,,,,
AMES 111,"SELF, SOCIETY, ART IN HINDUISM",lec,1,Leela Prasad,,1,"CCI,EI,C,CZ",AMES,111,1,FALSE,FALSE,TRUE,FALSE,TRUE,10:05AM,11:20AM,,,,,,,,,,,,
AMES 114,BUDDHISM,lec,1,Rebecca Mendelson,,1,"CCI,EI,C,CZ",AMES,114,1,FALSE,TRUE,FALSE,TRUE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
AMES 120,MUSIC IN EAST ASIA,lec,1,Departmental Staff,,1,"CCI,C,ALP,CZ",AMES,120,1,FALSE,FALSE,TRUE,FALSE,TRUE,1:25PM,2:40PM,,,,,,,,,,,,
