Class_Name,Description,Type,id,Professor,Time,Unit,Attributes,Subject,Number
AMES 195S,INTRO TO AMES,lec,1,Erdag M Goknar,MW 11:45AM - 1:00PM,1.0,"CCI,CZ",AMES,195
AMES 204FS,DOCUMENTING THE MIDDLE EAST,lec,1,Nancy Kalow,WF 10:05AM - 11:20AM,1.0,"CCI,R,C,ALP,CZ",AMES,204
AMES 205FS,LITERARY ISLAM,lec,1,Ellen McLarney,MW 3:05PM - 4:20PM,1.0,"CCI,ALP,CZ",AMES,205
AMES 207,SILK ROADS AND CHINA,lec,1,Sucheta Mazumdar,TuTh 1:25PM - 2:40PM,1.0,"CCI,C,CZ",AMES,207
AMES 208S,GEOPOLITICS AND CULTURE,lec,1,Erdag M Goknar,MW 3:05PM - 4:20PM,1.0,"CCI,C,ALP,CZ",AMES,208
AMES 210,INTRO TO THE MIDDLE EAST,lec,1,Fadi A Bardawil,TuTh 4:40PM - 5:55PM,1.0,"CCI,C,ALP,CZ",AMES,210
AMES 218,THE MIDDLE EAST THROUGH FILM,lec,1,Ozgun Eylul Iscen,Tu 3:05PM - 5:35PM,1.0,"CCI,EI,C,ALP,CZ",AMES,218
AMES 220S,FROM AL-QAEDA TO ISIS,lec,1,Mbaye B Lo,Th 6:15PM - 8:45PM,1.0,"CCI,EI,W,CZ,SS",AMES,220
AMES 233,GLOBAL CHINESE CITIES,lec,1,Carlos Rojas,TuTh 10:05AM - 11:20AM,1.0,"CCI,C,ALP,CZ",AMES,233
AMES 244,ISRAEL/PALESTINE,lec,1,"Erika S Weinthal, Rebecca Stein",MW 10:05AM - 11:20AM,1.0,"CCI,EI,C,SS",AMES,244
AMES 247,T'AI CHI AND CHINESE THOUGHT,lec,1,David N Need,M 4:40PM - 7:10PM,1.0,"CCI,C,CZ",AMES,247
AMES 275,CHINESE PHILOSOPHY,lec,1,David Wong,TuTh 3:05PM - 4:20PM,1.0,"CCI,EI,C,CZ",AMES,275
AMES 286,BUDDHISM AND SEXUALITY,lec,1,David N Need,TuTh 3:05PM - 4:20PM,1.0,"CCI,EI,C,CZ",AMES,286
AMES 288S,RELIGION & POLITICS,lec,1,Mohsen Kadivar,MW 4:40PM - 5:55PM,1.0,"CCI,EI,C,CZ",AMES,288
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,lec,1,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",Tu 3:05PM - 5:35PM,1.0,"CCI,EI,C,CZ",AMES,301
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,1,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",W 8:30AM - 9:20AM,1.0,"CCI,EI,C,CZ",AMES,301
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,2,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",W 10:05AM - 10:55AM,1.0,"CCI,EI,C,CZ",AMES,301
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,3,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",Th 8:30AM - 9:20AM,1.0,"CCI,EI,C,CZ",AMES,301
AMES 301D,RELIGION RESTRICTIONS VIOLENCE,dis,4,"Ellen F Davis, Laura S Lieber, Tuncay A Antepli",Th 10:05AM - 10:55AM,1.0,"CCI,EI,C,CZ",AMES,301
AMES 318S,SOCIAL MOVEMENTS/SOCIAL MEDIA,lec,1,Negar Mottahedeh,WF 11:45AM - 1:00PM,1.0,"CCI,EI,STS,C,ALP,CZ",AMES,318
AMES 322,MYSTICAL LITERATURE,lec,1,Omid Safi,W 4:40PM - 7:10PM,1.0,"CCI,C,ALP",AMES,322
AMES 335,CHINATOWNS: A CULTURAL HISTORY,lec,1,Eileen Chow,W 3:05PM - 5:35PM,1.0,"CCI,R,C,ALP,CZ",AMES,335
AMES 360,GLOBAL APPLE,lec,1,Ralph A Litzinger,MW 11:45AM - 1:00PM,1.0,"EI,STS,C,CZ,SS",AMES,360
AMES 372,TWO KOREAS,lec,1,Nayoung Aimee Kwon,TuTh 6:15PM - 7:30PM,1.0,"CCI,C,ALP,CZ",AMES,372
AMES 373S,ISLAM MYS:PERSO-IND/EAST,lec,1,Mona F Hassan,MW 10:05AM - 11:20AM,1.0,"CCI,EI,C,CZ",AMES,373
AMES 410S,TRAUMA IN ASIA,lec,1,Nayoung Aimee Kwon,Th 11:45AM - 2:15PM,1.0,"CCI,C,ALP,CZ",AMES,410
AMES 432S,STORYWORLDS,lec,1,Eileen Chow,MW 10:05AM - 11:20AM,1.0,"CCI,C,ALP,CZ",AMES,432
AMES 435S,CHINESE MEDIA AND POP CULTURE,lec,1,Kang Liu,MW 1:25PM - 2:40PM,1.0,"CCI,C,SS",AMES,435
AMES 437S,CAP SEM: GLOBALIZATION ASIA,lec,1,Sucheta Mazumdar,Th 4:40PM - 7:10PM,1.0,"CCI,R,STS,C,CZ,SS",AMES,437
AMES 498S,SENIOR HONORS THESIS SEMINAR,lec,1,Ellen McLarney,M 6:15PM - 8:45PM,1.0,"R,W",AMES,498
AMI 198,EXPERIMENTAL INTERFACE DESIGN,lec,1,William Seaman,W 11:45AM - 2:15PM,1.0,"STS,C,ALP",AMI,198
AMI 218FS,DOCUMENTING THE MIDDLE EAST,lec,1,Nancy Kalow,WF 10:05AM - 11:20AM,1.0,"CCI,R,C,ALP,CZ",AMI,218
AMI 224S,WRITING THE TV DRAMA SERIES,lec,1,Neal C Bell,M 3:05PM - 5:35PM,1.0,"W,C,ALP",AMI,224
AMI 246S,SOCIAL MOVEMENTS/SOCIAL MEDIA,lec,1,Negar Mottahedeh,WF 11:45AM - 1:00PM,1.0,"CCI,EI,STS,C,ALP,CZ",AMI,246
AMI 253,INDIAN CINEMA,lec,1,Satendra Khanna,TuTh 3:05PM - 4:20PM,1.0,"CCI,R,C,ALP,CZ",AMI,253
AMI 269,GLOBAL CHINESE CITIES,lec,1,Carlos Rojas,TuTh 10:05AM - 11:20AM,1.0,"CCI,C,ALP,CZ",AMI,269
AMI 271,CLASSICS OF PAGE AND SCREEN,lec,1,Micaela W Janan,MW 4:40PM - 5:55PM,1.0,"CCI,C,ALP,CZ",AMI,271
AMI 274,SCREENING COLD WAR ESPIONAGE,lec,1,Beth Holmgren,M 6:15PM - 8:45PM,1.0,"CCI,EI,C,ALP,CZ",AMI,274
AMI 277,THE DRAMATIC MONSTER,lec,1,Neal C Bell,W 3:05PM - 5:35PM,1.0,"C,ALP",AMI,277
AMI 281S,MOTION DESIGN,lec,1,Raquel Salvatella De Prada,W 8:30AM - 11:00AM,1.0,,AMI,281
AMI 315S,ENVIRON. ISSUES & THE DOC ARTS,lec,1,Miguel Rojas Sotelo,WF 10:05AM - 11:20AM,1.0,"C,ALP",AMI,315
AMI 331S,DOC EXPER: A VIDEO APPR,lec,1,Gary Hawkins,W 10:05AM - 12:35PM,1.0,"R,C,ALP,SS",AMI,331
AMI 337,CHINATOWNS: A CULTURAL HISTORY,lec,1,Eileen Chow,W 3:05PM - 5:35PM,1.0,"CCI,R,C,ALP,CZ",AMI,337
AMI 338S,STORYWORLDS,lec,1,Eileen Chow,MW 10:05AM - 11:20AM,1.0,"CCI,C,ALP,CZ",AMI,338
AMI 343S,DANCE FOR THE CAMERA,lec,1,Andrea E Woods Valdes,TuTh 1:25PM - 2:40PM,1.0,"R,STS,C,ALP",AMI,343
AMI 352S,"TIME, SPACE AND FILM",lec,1,Joshua M Gibson,W 1:25PM - 3:55PM,1.0,"R,STS,C,ALP",AMI,352
AMI 356S,16MM FILM PRODUCTION,lec,1,Joshua M Gibson,Tu 1:25PM - 4:25PM,1.0,"C,ALP",AMI,356
AMI 366S,VIDEO JOURNALISM,lec,1,Lynn Owens,F 11:45AM - 2:15PM,1.0,"C,ALP,SS",AMI,366
